,Data From,Data To,Name,Type,Count,Amount,Year,Quater
0,1514745000000,1522175400000,Recharge & bill payments,TOTAL,72550406,14472713558.652578,2018,Q1
1,1514745000000,1522175400000,Peer-to-peer payments,TOTAL,46982705,147245883542.77402,2018,Q1
2,1514745000000,1522175400000,Merchant payments,TOTAL,5368669,4656678915.140091,2018,Q1
3,1514745000000,1522175400000,Financial Services,TOTAL,3762820,815853105.1000277,2018,Q1
4,1514745000000,1522175400000,Others,TOTAL,5761576,4643217301.269438,2018,Q1
5,1522521000000,1530124200000,Recharge & bill payments,TOTAL,92033715,24351225616.36898,2018,Q2
6,1522521000000,1530124200000,Peer-to-peer payments,TOTAL,74558816,264767671095.31842,2018,Q2
7,1522521000000,1530124200000,Merchant payments,TOTAL,10613941,9052859939.339659,2018,Q2
8,1522521000000,1530124200000,Financial Services,TOTAL,5186569,1176991419.239996,2018,Q2
9,1522521000000,1530124200000,Others,TOTAL,4973199,5027454207.140578,2018,Q2
10,1530383400000,1538073000000,Peer-to-peer payments,TOTAL,202021587,425967421714.0399,2018,Q3
11,1530383400000,1538073000000,Recharge & bill payments,TOTAL,102290514,31364311860.394596,2018,Q3
12,1530383400000,1538073000000,Merchant payments,TOTAL,25175938,12433150984.830223,2018,Q3
13,1530383400000,1538073000000,Financial Services,TOTAL,6218596,891447809.4200314,2018,Q3
14,1530383400000,1538073000000,Others,TOTAL,5594554,4449556277.54975,2018,Q3
15,1538332200000,1545935400000,Peer-to-peer payments,TOTAL,200235002,594995709377.7327,2018,Q4
16,1538332200000,1545935400000,Recharge & bill payments,TOTAL,131917248,39578607327.024284,2018,Q4
17,1538332200000,1545935400000,Merchant payments,TOTAL,71498510,30497289208.339787,2018,Q4
18,1538332200000,1545935400000,Financial Services,TOTAL,5216165,868584631.5900131,2018,Q4
19,1538332200000,1545935400000,Others,TOTAL,8246415,5802659774.449921,2018,Q4
20,1546281000000,1553711400000,Peer-to-peer payments,TOTAL,404841331,887893108631.5128,2019,Q1
21,1546281000000,1553711400000,Recharge & bill payments,TOTAL,180504739,55473071028.87885,2019,Q1
22,1546281000000,1553711400000,Merchant payments,TOTAL,110496541,40575915112.522,2019,Q1
23,1546281000000,1553711400000,Financial Services,TOTAL,4627353,603852042.0000324,2019,Q1
24,1546281000000,1553711400000,Others,TOTAL,8526177,5484252454.8204155,2019,Q1
25,1554057000000,1561660200000,Peer-to-peer payments,TOTAL,384711008,1196425281586.9927,2019,Q2
26,1554057000000,1561660200000,Recharge & bill payments,TOTAL,209898072,76865848586.98372,2019,Q2
27,1554057000000,1561660200000,Merchant payments,TOTAL,206467182,73415840739.88434,2019,Q2
28,1554057000000,1561660200000,Financial Services,TOTAL,2650384,545329308.0899862,2019,Q2
29,1554057000000,1561660200000,Others,TOTAL,11656557,6969423863.830339,2019,Q2
30,1561919400000,1569609000000,Peer-to-peer payments,TOTAL,461911865,1440512511470.7004,2019,Q3
31,1561919400000,1569609000000,Merchant payments,TOTAL,376320628,123209398484.44376,2019,Q3
32,1561919400000,1569609000000,Recharge & bill payments,TOTAL,240103872,101520929811.06812,2019,Q3
33,1561919400000,1569609000000,Financial Services,TOTAL,2870292,617120839.9299941,2019,Q3
34,1561919400000,1569609000000,Others,TOTAL,13804992,6705143103.510092,2019,Q3
35,1569868200000,1577471400000,Peer-to-peer payments,TOTAL,703497002,1963952535223.0903,2019,Q4
36,1569868200000,1577471400000,Merchant payments,TOTAL,456578271,174239646473.03162,2019,Q4
37,1569868200000,1577471400000,Recharge & bill payments,TOTAL,285310032,116344996244.26738,2019,Q4
38,1569868200000,1577471400000,Financial Services,TOTAL,2476840,551204225.4200497,2019,Q4
39,1569868200000,1577471400000,Others,TOTAL,12583379,4811822509.649999,2019,Q4
40,1577817000000,1585333800000,Peer-to-peer payments,TOTAL,693998661,2320557268853.593,2020,Q1
41,1577817000000,1585333800000,Merchant payments,TOTAL,566355270,231298042209.83606,2020,Q1
42,1577817000000,1585333800000,Recharge & bill payments,TOTAL,351300991,140373550367.1558,2020,Q1
43,1577817000000,1585333800000,Financial Services,TOTAL,1358171,773848137.0300016,2020,Q1
44,1577817000000,1585333800000,Others,TOTAL,10027019,4116905195.8207293,2020,Q1
45,1585679400000,1593282600000,Peer-to-peer payments,TOTAL,631031364,2243915932390.771,2020,Q2
46,1585679400000,1593282600000,Recharge & bill payments,TOTAL,448842692,171590686463.15784,2020,Q2
47,1585679400000,1593282600000,Merchant payments,TOTAL,363275861,226908226049.51398,2020,Q2
48,1585679400000,1593282600000,Financial Services,TOTAL,1682062,1751767444.1000087,2020,Q2
49,1585679400000,1593282600000,Others,TOTAL,3779461,1987466180.2098684,2020,Q2
50,1593541800000,1601231400000,Peer-to-peer payments,TOTAL,916790263,3287051873253.504,2020,Q3
51,1593541800000,1601231400000,Merchant payments,TOTAL,672019839,405291207894.2984,2020,Q3
52,1593541800000,1601231400000,Recharge & bill payments,TOTAL,436172619,204262355709.72183,2020,Q3
53,1593541800000,1601231400000,Financial Services,TOTAL,2531978,2673063432.9600067,2020,Q3
54,1593541800000,1601231400000,Others,TOTAL,5541374,2789907563.6502213,2020,Q3
55,1601490600000,1609093800000,Peer-to-peer payments,TOTAL,1249512647,4474548495095.518,2020,Q4
56,1601490600000,1609093800000,Merchant payments,TOTAL,1127490136,684873639322.252,2020,Q4
57,1601490600000,1609093800000,Recharge & bill payments,TOTAL,479784084,227875840842.1121,2020,Q4
58,1601490600000,1609093800000,Financial Services,TOTAL,2942567,3259168195.749941,2020,Q4
59,1601490600000,1609093800000,Others,TOTAL,9556404,5323095366.309718,2020,Q4
60,1609439400000,1616869800000,Merchant payments,TOTAL,1467948823,844466633896.8679,2021,Q1
61,1609439400000,1616869800000,Peer-to-peer payments,TOTAL,1447600942,5170856441552.582,2021,Q1
62,1609439400000,1616869800000,Recharge & bill payments,TOTAL,530118545,260182440730.4327,2021,Q1
63,1609439400000,1616869800000,Financial Services,TOTAL,3075296,3573884778.5300817,2021,Q1
64,1609439400000,1616869800000,Others,TOTAL,8851525,5199901891.8900385,2021,Q1
65,1617215400000,1624818600000,Peer-to-peer payments,TOTAL,1744272888,6163165772736.494,2021,Q2
66,1617215400000,1624818600000,Merchant payments,TOTAL,1499626469,1003530942287.5988,2021,Q2
67,1617215400000,1624818600000,Recharge & bill payments,TOTAL,685024821,300559461295.9022,2021,Q2
68,1617215400000,1624818600000,Financial Services,TOTAL,3397384,3651996523.4499955,2021,Q2
69,1617215400000,1624818600000,Others,TOTAL,9061732,5598131364.820071,2021,Q2
70,1625077800000,1632767400000,Merchant payments,TOTAL,2316924871,1426965558783.5557,2021,Q3
71,1625077800000,1632767400000,Peer-to-peer payments,TOTAL,2215575286,7429357587018.912,2021,Q3
72,1625077800000,1632767400000,Recharge & bill payments,TOTAL,714583744,349234592690.4992,2021,Q3
73,1625077800000,1632767400000,Financial Services,TOTAL,3112160,4043342762.3300233,2021,Q3
74,1625077800000,1632767400000,Others,TOTAL,13558464,7146868847.2897215,2021,Q3
75,1633026600000,1640629800000,Merchant payments,TOTAL,3152394530,1995855822160.6426,2021,Q4
76,1633026600000,1640629800000,Peer-to-peer payments,TOTAL,2716561423,9203910371491.78,2021,Q4
77,1633026600000,1640629800000,Recharge & bill payments,TOTAL,738096162,407266894783.10693,2021,Q4
78,1633026600000,1640629800000,Financial Services,TOTAL,4141629,5028434834.240034,2021,Q4
79,1633026600000,1640629800000,Others,TOTAL,14562602,9296993478.869577,2021,Q4
80,1640975400000,1648405800000,Merchant payments,TOTAL,3748851071,2272818129376.5205,2022,Q1
81,1640975400000,1648405800000,Peer-to-peer payments,TOTAL,3074250150,10505936803336.926,2022,Q1
82,1640975400000,1648405800000,Recharge & bill payments,TOTAL,749674246,447599848131.41187,2022,Q1
83,1640975400000,1648405800000,Financial Services,TOTAL,4035100,4921211866.489969,2022,Q1
84,1640975400000,1648405800000,Others,TOTAL,16393502,8422766458.459174,2022,Q1
85,1648751400000,1656354600000,Merchant payments,TOTAL,4765203787,2847096877386.341,2022,Q2
86,1648751400000,1656354600000,Peer-to-peer payments,TOTAL,3506141323,12123524700463.535,2022,Q2
87,1648751400000,1656354600000,Recharge & bill payments,TOTAL,845751926,523046092987.93964,2022,Q2
88,1648751400000,1656354600000,Financial Services,TOTAL,3272822,3889787479.819907,2022,Q2
89,1648751400000,1656354600000,Others,TOTAL,11241480,6711034131.16017,2022,Q2
90,1656613800000,1664303400000,Merchant payments,TOTAL,5618132071,3151614767860.314,2022,Q3
91,1656613800000,1664303400000,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29,2022,Q3
92,1656613800000,1664303400000,Recharge & bill payments,TOTAL,956164949,607048699730.3645,2022,Q3
93,1656613800000,1664303400000,Financial Services,TOTAL,3959631,4514223164.469998,2022,Q3
94,1656613800000,1664303400000,Others,TOTAL,10005043,6725900102.770244,2022,Q3
95,1664562600000,1672165800000,Merchant payments,TOTAL,6565690145,3673601044800.037,2022,Q4
96,1664562600000,1672165800000,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227,2022,Q4
97,1664562600000,1672165800000,Recharge & bill payments,TOTAL,991049281,649776847580.25,2022,Q4
98,1664562600000,1672165800000,Financial Services,TOTAL,4623387,5360528394.309982,2022,Q4
99,1664562600000,1672165800000,Others,TOTAL,10013085,7361492606.590162,2022,Q4
